Country,ccode,year,Approval_Smoothed,Approval_Not_Smoothed,NET_Smoothed,NET_Not_Smoothed,Relative_Smoothed,Relative_Not_Smoothed
Bolivia,Bolivia,2004,45.717571,55.184689,11.16477,15.05268,57.943829,59.9282
Bolivia,Bolivia,2005,53.671169,55.628529,31.215679,35.4263,70.243309,72.565697
Bolivia,Bolivia,2006,63.433399,65.985153,35.15974,33.27998,71.227608,70.095833
Bolivia,Bolivia,2007,61.803558,59.68462,33.100849,32.166931,69.724991,69.353737
Bolivia,Bolivia,2008,55.268299,52.438889,19.52697,16.82305,61.41769,59.994492
Bolivia,Bolivia,2009,53.934368,52.577332,23.078279,22.614479,63.856258,63.87339
Bolivia,Bolivia,2010,51.36821,50.520519,16.62731,15.55991,59.589371,58.9552
Bolivia,Bolivia,2011,39.38839,35.709351,-.3523972,-2.354064,49.81377,48.86161
Bolivia,Bolivia,2012,41.825851,43.17728,7.4176922,7.4505692,54.776699,54.923248
Bolivia,Bolivia,2013,51.653461,55.152351,24.972549,27.254129,65.385521,66.724342
Bolivia,Bolivia,2014,65.240334,68.815132,44.871799,45.424858,76.843628,77.36573
Bolivia,Bolivia,2015,71.229691,70.758133,43.920971,44.93428,76.382187,77.006958
Bolivia,Bolivia,2016,57.218929,51.05439,24.307199,20.16099,64.362259,62.353439
Bolivia,Bolivia,2017,52.95504,50.3941,15.31173,13.91819,58.987438,58.21862
Bolivia,Bolivia,2018,43.2183,39.795059,-.2218592,-4.8057909,49.653439,47.558128
Brazil,Brazil,1979,60.215019,58.331581,44.99437,41.79026,78.693497,76.797043
Brazil,Brazil,1980,42.999222,39.1884,19.58712,14.04637,62.172798,59.060009
Brazil,Brazil,1981,45.153049,44.670311,21.43314,19.705179,63.300468,62.277
Brazil,Brazil,1982,50.69175,50.465469,31.295731,30.22114,70.283592,69.672684
Brazil,Brazil,1983,42.569279,40.44141,17.56175,13.81059,60.682899,58.51886
Brazil,Brazil,1984,31.061609,29.094721,.50344872,-2.851465,47.927711,45.975731
Brazil,Brazil,1985,50.62249,52.759399,41.731621,44.619671,80.829361,82.867577
Brazil,Brazil,1986,62.403488,62.433849,48.401112,45.77108,79.08905,76.864769
Brazil,Brazil,1987,28.589689,22.93726,-20.16605,-29.806419,35.345161,30.21067
Brazil,Brazil,1988,16.41213,15.42777,-52.46928,-55.25132,18.65712,17.67848
Brazil,Brazil,1989,15.69396,16.60343,-53.762779,-52.223331,17.29604,18.07526
Brazil,Brazil,1990,37.440151,41.06263,-3.89957,2.7843771,48.387661,52.164631
Brazil,Brazil,1991,28.62479,27.40279,-19.701361,-21.677139,36.958389,35.879139
Brazil,Brazil,1992,23.33499,23.065359,-33.431049,-34.50024,30.718731,30.47543
Brazil,Brazil,1993,26.202299,27.06938,-15.48085,-13.22453,39.99778,40.92812
Brazil,Brazil,1994,32.13855,33.214088,-3.4627481,-2.585897,49.708858,50.362759
Brazil,Brazil,1995,45.109089,46.650639,17.6026,18.81753,64.988319,65.666512
Brazil,Brazil,1996,46.281181,45.578388,16.38216,14.44672,62.70927,61.354622
Brazil,Brazil,1997,47.450981,46.64893,16.439711,14.63215,62.63913,61.46653
Brazil,Brazil,1998,44.46199,43.134609,12.44983,10.31,60.833031,59.588699
Brazil,Brazil,1999,28.03779,25.3566,-27.62586,-32.890739,32.541779,29.45874
Brazil,Brazil,2000,27.40016,27.59164,-26.285021,-25.714331,32.995201,33.321442
Brazil,Brazil,2001,27.5784,27.90876,-22.226101,-21.47154,35.18742,35.654881
Brazil,Brazil,2002,30.405451,31.02849,-15.69096,-14.89719,39.834641,40.410831
Brazil,Brazil,2003,49.646919,52.124722,24.389151,28.11985,70.257668,72.63871
Brazil,Brazil,2004,43.233398,41.346241,10.70933,7.2883639,59.223881,56.96431
Brazil,Brazil,2005,40.135841,39.053741,1.9057029,-.39099699,52.85437,51.3876
Brazil,Brazil,2006,47.69175,47.976398,15.01217,15.12982,61.021,60.927319
Brazil,Brazil,2007,52.11195,51.54319,22.652531,21.60445,66.056183,65.349167
Brazil,Brazil,2008,64.421883,64.457779,44.613201,44.510921,77.805344,77.43644
Brazil,Brazil,2009,69.689003,68.080467,51.721088,49.09901,81.073227,79.440063
Brazil,Brazil,2010,76.657303,74.847183,63.480801,60.880409,86.147751,84.491119
Brazil,Brazil,2011,60.281029,55.478619,36.281319,29.68367,74.450218,71.37397
Brazil,Brazil,2012,64.071404,62.56382,45.182308,43.139469,79.964401,78.588966
Brazil,Brazil,2013,51.866428,48.329979,17.88117,11.87523,63.49435,60.259811
Brazil,Brazil,2014,42.98148,40.63438,2.6751771,-.68218112,52.653831,50.62133
Brazil,Brazil,2015,20.94453,17.608391,-52.645859,-59.240688,18.86046,15.53168
Brazil,Brazil,2016,20.905399,21.9086,-42.15411,-38.980579,23.666451,25.32987
Brazil,Brazil,2017,13.46561,13.33846,-64.259239,-64.940262,11.60437,11.50609
Brazil,Brazil,2018,9.9758558,10.64771,-74.517464,-73.341766,6.8328972,7.6683478
Brazil,Brazil,2019,31.724609,35.996479,-18.854361,-10.36875,40.565739,45.018211
Bulgaria_EXEC,Bulgaria_EXEC,1990,55.017658,56.858971,33.258789,30.37155,70.128929,68.397919
Bulgaria_EXEC,Bulgaria_EXEC,1991,51.58485,54.00626,32.076721,28.79336,69.21244,67.147362
Bulgaria_EXEC,Bulgaria_EXEC,1992,52.455139,44.840611,21.094879,6.2436209,63.018452,53.508991
Bulgaria_EXEC,Bulgaria_EXEC,1993,50.384609,43.0867,15.63688,8.7352734,60.230492,55.833328
Bulgaria_EXEC,Bulgaria_EXEC,1994,42.741451,30.384171,-.90458101,-18.050699,50.520748,38.548382
Bulgaria_EXEC,Bulgaria_EXEC,1995,40.40134,42.624859,5.0319328,15.42918,53.83514,59.630951
Bulgaria_EXEC,Bulgaria_EXEC,1996,30.20866,28.46978,-5.5391622,-12.15112,47.414822,42.285519
Bulgaria_EXEC,Bulgaria_EXEC,1997,53.569721,54.510189,4.921967,18.39002,52.947399,59.965221
Bulgaria_EXEC,Bulgaria_EXEC,1998,59.266731,51.67276,7.7509508,10.73734,54.637619,55.740181
Bulgaria_EXEC,Bulgaria_EXEC,1999,55.896191,48.046501,7.1212912,6.720191,54.349781,53.399052
Bulgaria_EXEC,Bulgaria_EXEC,2000,52.799881,41.15807,-.5934689,-8.3892345,50.243359,44.727409
Bulgaria_EXEC,Bulgaria_EXEC,2001,50.95953,50.95866,7.0973468,18.680611,54.61515,61.041512
Bulgaria_EXEC,Bulgaria_EXEC,2002,45.911758,41.43713,2.9519279,-.099950477,52.246559,49.442841
Bulgaria_EXEC,Bulgaria_EXEC,2003,45.737629,34.08757,-8.8969898,-19.836109,45.949169,38.488689
Bulgaria_EXEC,Bulgaria_EXEC,2004,49.93462,36.342911,-15.4125,-19.447109,42.535511,38.820759
Bulgaria_EXEC,Bulgaria_EXEC,2005,53.327808,41.559238,-13.85901,-8.5608244,43.408161,45.089569
Bulgaria_EXEC,Bulgaria_EXEC,2006,49.679508,41.20726,-11.31135,-4.0227499,44.49482,47.14769
Bulgaria_EXEC,Bulgaria_EXEC,2007,47.306591,38.294079,-13.08686,-9.8808403,43.4161,43.70932
